,X,Y exact,Y Euler,Y Improved Euler,Y Runge-Kutta
0,1.0,10.0,10.0,10.0,10.0
1,2.0,13.65685424949238,14.0,13.64575131106459,13.658154152609109
2,3.0,16.92820323027551,17.44948974278318,16.913109516716,16.9297524666611
3,4.0,20.0,20.644141555925238,19.982607445908798,20.00168945832998
4,5.0,22.94427190999916,23.684003166177586,22.925232461523127,22.946070704617956
5,6.0,25.79795897113271,26.61708377319725,25.77759917426671,25.799852398622352
6,7.0,28.583005244258363,29.47077755288855,28.561517951870176,28.584984120909258
7,8.0,31.31370849898476,32.262455838458834,31.29122102005047,31.315766222334382
8,9.0,34.0,35.00395145424641,33.976603247930214,34.002131441942026
9,10.0,36.64911064067352,37.703753777859575,36.62487336325267,36.651311628701826
10,11.0,39.2664991614216,40.36819824307491,39.24147561626349,39.26876619514666
11,12.0,41.85640646055102,43.00216158535524,41.83064089084998,41.858736539094025
12,13.0,44.42220510185596,45.60949274770053,44.39573451476892,44.424595610336326
13,14.0,46.96662954709576,48.19329277265756,46.9394855289856,46.96907817766921
14,15.0,49.491933384829665,50.75610371937819,49.464143338702534,49.49443807939822
